t,energy
7.192368691823747e8,-1.4987479749037907e27
8.9310794356254e8,-1.4985589397237752e27
1.0669790179427053e9,-1.4984555078221073e27
1.2408500923228707e9,-1.498442882606507e27
1.4147211667030358e9,-1.4984428841511254e27
1.5885922410832012e9,-1.4984428858676381e27
1.7624633154633665e9,-1.4984428877458772e27
1.9363343898435318e9,-1.49844288974289e27
2.1102054642236972e9,-1.4984428917962354e27
2.2840765386038623e9,-1.4984428938359938e27
2.457947612984028e9,-1.498442895794082e27
2.631818687364193e9,-1.4984428976104526e27
2.8056897617443585e9,-1.498442899236311e27
2.9795608361245236e9,-1.4984429006348754e27
3.1534319105046887e9,-1.4984429017804392e27
3.3273029848848543e9,-1.4984429026561513e27
3.5011740592650194e9,-1.4984429032530992e27
3.675045133645185e9,-1.4984429035664831e27
3.84891620802535e9,-1.4984429013467242e27
4.0227872824055157e9,-1.4983931279987503e27
4.196658356785681e9,-1.498278531729696e27
4.370529431165846e9,-1.4981068780836562e27
4.544400505546011e9,-1.4978871792896542e27
4.718271579926177e9,-1.4976295496461637e27
4.892142654306342e9,-1.497345110307646e27
5.066013728686507e9,-1.4970458867633366e27
5.239884803066672e9,-1.4967446359234564e27
5.413755877446837e9,-1.4964545448861783e27
5.5876269518270035e9,-1.4961887632067803e27
5.761498026207169e9,-1.4959597649312007e27
5.935369100587334e9,-1.495778581035366e27
6.109240174967499e9,-1.4956539873767404e27
6.283111249347665e9,-1.4955917650237435e27
6.45698232372783e9,-1.4955918505146896e27
6.630853398107995e9,-1.495591890372284e27
6.80472447248816e9,-1.4955918676243586e27
6.978595546868325e9,-1.495591776314969e27
7.152466621248491e9,-1.4955916311167518e27
7.326337695628656e9,-1.4955914723855229e27
7.5002087700088215e9,-1.4955913600373813e27
7.674079844388987e9,-1.4955913550314552e27
7.847950918769152e9,-1.4955913554825343e27
8.021821993149318e9,-1.49559135582252e27
8.195693067529483e9,-1.495591356024206e27
8.369564141909648e9,-1.4955913560643584e27
8.543435216289813e9,-1.4955913559249038e27
8.71730629066998e9,-1.495591355591131e27
8.891177365050144e9,-1.49559135505238e27
9.06504843943031e9,-1.4955913543017192e27
9.238919513810474e9,-1.495547283776403e27
9.41279058819064e9,-1.4954548943732795e27
9.586661662570805e9,-1.4953201839146018e27
9.76053273695097e9,-1.495150267994042e27
9.934403811331137e9,-1.49495320396389e27
1.0108274885711302e10,-1.494737825491558e27
1.0282145960091467e10,-1.4945135576766203e27
1.0456017034471632e10,-1.4942901825579058e27
1.0629888108851797e10,-1.4940775317346924e27
1.0803759183231962e10,-1.4938850970515872e27
1.0977630257612127e10,-1.4937215703179066e27
1.1151501331992292e10,-1.4935943452834174e27
1.1325372406372458e10,-1.493509034330345e27
1.1499243480752623e10,-1.49346906305296e27
1.167311455513279e10,-1.4934690587064348e27
1.1846985629512955e10,-1.4934690521687593e27
1.202085670389312e10,-1.4934690459089168e27
1.2194727778273285e10,-1.4934690424617055e27
1.236859885265345e10,-1.493469044488676e27
1.2542469927033615e10,-1.4934690544838195e27
1.271634100141378e10,-1.4934690741065272e27
1.2890212075793945e10,-1.4934691037924412e27
1.306408315017411e10,-1.4934691430209345e27
1.3237954224554277e10,-1.4934691907168888e27
1.3411825298934443e10,-1.493469245167139e27
1.3585696373314608e10,-1.493469303511241e27
1.3759567447694773e10,-1.4934693612040263e27
1.3933438522074938e10,-1.4934694117205286e27
1.4107309596455103e10,-1.493469446741393e27
1.4281180670835268e10,-1.4934694571282882e27
